title,company,wage,location,category,language
English Tutor,ABC Cram School,250,Taipei,Tutoring,English
Math Tutor,Elite Education,280,Taipei,Tutoring,English
Restaurant Staff,Hotpot House,190,Gongguan,Restaurant,Chinese
Cafe Worker,Coffee Corner,180,NTU Area,Cafe,Chinese
Cashier,Family Mart,185,Gongguan,Retail,Chinese
Library Assistant,University Library,200,Taipei,Office,English
Research Assistant,NTU Lab,250,Taipei,Academic,English
Teaching Assistant,XYZ Academy,220,Taipei,Tutoring,English
Barista,Star Coffee,195,Gongguan,Cafe,Chinese
Store Assistant,Bookstore Plus,190,Taipei,Retail,Chinese
Data Entry Clerk,Tech Solutions,230,Taipei,Office,English
Marketing Intern,Startup Hub,260,Taipei,Office,English
Event Staff,EventPro,210,Taipei,Events,Chinese
Receptionist,Language Center,220,Taipei,Office,English
Kitchen Helper,Food Court,180,Gongguan,Restaurant,Chinese
Private Tutor,Independent,350,Taipei,Tutoring,English
Customer Service Assistant,E-Shop Ltd,240,Taipei,Office,English
Delivery Assistant,Quick Delivery,200,Taipei,Logistics,Chinese
Sales Assistant,Fashion Store,190,Xinyi,Retail,Chinese
Social Media Assistant,Creative Studio,250,Taipei,Marketing,English